no,id_user,kategori
1091,14366,Butik
1092,14369,Toko Kelontong
1093,14372,Kaki Lima
1094,14370,Counter pulsa
1095,14378,Toko Kelontong
1096,14379,Cafe
1097,14380,Warung
1098,14381,Olshop
1099,14382,Olshop
1100,14383,Olshop
1101,14384,Kaki Lima
1102,13865,Counter pulsa
1103,14395,Cafe
1104,14399,Olshop
1105,13577,Counter pulsa
1106,14401,Cafe
1107,14403,Bengkel
1108,14404,Counter pulsa
1109,14406,Cafe
1110,14407,Cafe
1111,14411,Olshop
1112,14416,Counter pulsa
1113,14418,Counter pulsa
1114,14420,Olshop
1115,14433,Cafe
1116,14437,Toko Kelontong
1117,14439,Counter pulsa
1118,14441,Cafe
1119,14444,Minimarket
1120,14446,Olshop
1121,14447,Olshop
1122,14448,Olshop
1123,14455,Counter pulsa
1124,14461,Toko Kelontong
1125,14462,Cafe
1126,14464,Cafe
1127,14469,Restoran
1128,14470,Restoran
1129,14468,Toko Kelontong
1130,14483,Olshop
1131,14487,Toko Kelontong
1132,14486,Counter pulsa
1133,14484,Olshop
1134,14368,Restoran
1135,14497,Cafe
1136,14481,Cafe
1137,14498,Cafe
1138,14501,Restoran
1139,14502,Olshop
1140,14505,Butik
1141,14503,Olshop
1142,14509,Toko Kelontong
1143,14517,Cafe
1144,14520,Toko Kelontong
1145,14522,Cafe
1146,14523,Warung
1147,14529,Toko Kelontong
1148,14531,Toko Kelontong
1149,13752,Olshop
1150,14542,Bengkel
1151,14545,Warung
1152,14546,Butik
1153,14549,Counter pulsa
1154,14398,Minimarket
1155,8644,Cafe
1156,14556,Restoran
1157,14565,Counter pulsa
1158,14568,Toko Kelontong
1159,14570,Minimarket
1160,14571,Warung
1161,14573,Olshop
1162,14577,Counter pulsa
1163,14584,Restoran
1164,14587,Toko Kelontong
1165,14586,Toko Kelontong
1166,14600,Toko Kelontong
1167,14602,Counter pulsa
1168,14595,Butik
1169,14607,Toko Kelontong
1170,14084,Minimarket
1171,14619,Warung
1172,14620,Warung
1173,14628,Toko Kelontong
1174,14629,Toko Kelontong
1175,14632,Cafe
1176,14633,Counter pulsa
1177,14583,Toko Kelontong
1178,14641,Toko Kelontong
1179,14643,Butik
1180,14648,Cafe
1181,14650,Toko Kelontong
1182,14655,Toko Kelontong
1183,14656,Cafe
1184,14657,Restoran
1185,14661,Minimarket
1186,14666,Counter pulsa
1187,14665,Minimarket
1188,14670,Restoran
1189,14669,Counter pulsa
1190,14667,Toko Kelontong
1191,14671,Toko Kelontong
1192,14673,Cafe
1193,14678,Cafe
1194,14677,Counter pulsa
1195,14672,Toko Kelontong
